Продукт,Вес (г),Белки,Жиры,Углеводы,Калории,Категория
крупа манная,100,10.30,1.00,67.70,328.00
крупа перловая,100,9.30,1.10,66.50,320.00
нут сушеный,100,20.10,4.30,46.40,309.00
овсяная крупа,100,11.00,6.10,49.70,303.00
овсяные хлопья геркулес,100,11.00,6.20,50.10,305.00
плов говяжий,100,5.95,2.10,64.70,332.10
пшено,100,11.50,3.30,66.50,348.00
ризотто с грибами,100,2.80,11.90,12.50,192.00
ризотто с морепродуктами,100,5.10,3.80,12.00,103.80
рис арборио,100,6.61,0.58,79.34,360.00
рис дикий,100,14.73,1.08,74.90,357.00
рис дикий отварной,100,3.99,0.94,21.34,101.00
рис полированный,100,7.00,1.00,71.40,330.00
рис рассыпчатый,100,2.40,0.20,24.90,113.00
рис с яблоками,100,1.00,0.30,14.90,68.00
соя сушеная,100,34.90,17.30,9.20,332.00
толокно,100,11.50,6.00,50.20,306.00
фасоль вареная,100,7.80,0.50,21.50,123.00
фасоль сушеная,100,21.00,2.00,46.60,292.00
хрустящий рис,100,5.90,2.00,78.40,362.00
чечевица вареная,100,7.80,0.00,20.10,110.00
чечевица зеленая или коричневая,100,28.06,0.96,57.09,338.00
чечевица сушеная,100,24.00,1.50,42.70,284.00
ячневая крупа,100,10.00,1.30,66.30,324.00
базилик,100.0,2.54,0.61,4.34,27.00
баклажаны,100.0,1.20,0.10,5.10,24.00
бобы,100.0,6.00,0.10,8.50,60.00
брюква,100.0,1.20,0.10,7.40,34.00
горошек зеленый,100.0,5.00,0.20,12.80,73.00
кабачки,100.0,0.60,0.30,4.90,23.00
капуста белокочанная,100.0,1.80,0.10,4.70,27.00
капуста брокколи,100.0,3.10,0.80,1.10,24.00
капуста брюссельская,100.0,4.80,0.00,5.90,43.00
капуста кольраби,100.0,2.80,0.00,7.90,42.00
капуста краснокочанная,100.0,0.80,0.00,5.20,24.00
капуста пекинская,100.0,1.20,0.20,2.20,16.00
капуста цветная,100.0,2.50,0.30,4.50,30.00
картофель,100.0,2.00,0.40,16.30,80.00
кунжут,100.0,19.39,48.70,12.20,561.70
лук зеленый (перо),100.0,1.30,0.00,3.50,19.00
лук порей,100.0,2.00,0.00,6.50,33.00
лук репчатый,100.0,1.40,0.00,9.10,41.00
морковь желтая,100.0,1.30,0.10,6.20,50.00
морковь красная,100.0,1.30,0.10,7.20,34.00
мята перечная свежая,100.0,3.75,0.94,14.89,70.00
огурцы грунтовые,100.0,0.80,0.10,2.60,14.00
огурцы парниковые,100.0,0.70,0.10,1.90,11.00
орегано,100.0,1.50,0.00,5.00,24.80
патиссоны,100.0,0.60,0.10,4.10,19.00
перец белый душистый,100.0,6.09,8.69,72.12,262.64
перец зеленый сладкий,100.0,1.30,0.00,5.30,26.00
перец красный сладкий,100.0,1.30,0.00,5.30,27.00
петрушка (зелень),100.0,3.70,0.40,8.00,49.00
петрушка (корень),100.0,1.50,0.60,10.50,53.00
ревень,100.0,0.70,0.10,2.50,16.00
редис,100.0,1.20,0.10,3.80,21.00
редька,100.0,1.90,0.20,6.50,35.00
репа,100.0,1.50,0.00,5.30,27.00
розмарин,100.0,3.31,5.86,20.70,131.00
розмарин свежий,100.0,3.31,5.86,20.70,131.00
салат,100.0,1.50,0.20,2.30,17.00
салат кочанный,100.0,1.40,0.20,0.80,11.00
свекла,100.0,1.50,0.10,9.10,42.00
сельдерей (зелень),100.0,0.75,0.14,3.65,16.00
сельдерей (корень),100.0,1.30,0.30,6.10,32.00
сельдерей свежий стебли,100.0,0.75,0.14,3.65,16.00
сладкий картофель,100.0,2.00,0.00,13.30,61.00
спаржа,100.0,1.90,0.10,3.20,21.00
тимьян сушеный измельченный,100.0,9.11,7.43,63.94,276.18
томаты,100.0,1.10,0.20,3.80,23.00
тыква,100,1.00,0.10,4.20,25.00
укроп,100.0,2.50,0.50,4.10,31.00
фасоль (стручок),100.0,3.00,0.30,3.00,31.00
фасоль белая,100.0,23.36,0.85,60.27,333.00
фенхель,100.0,1.24,0.20,7.29,31.00
хрен,100.0,2.50,0.40,7.60,44.00
цуккини,100.0,1.50,0.20,3.00,16.00
черемша,100.0,2.40,0.10,6.10,34.00
чеснок,100.0,6.50,0.00,5.20,46.00
шпинат,100.0,2.90,0.30,2.00,22.00
щавель,100.0,1.50,0.00,3.00,19.00
горошек зеленый консервированный,100.0,3.10,0.20,6.50,40.00
имбирь маринованный,100.0,1.00,0.00,4.10,35.00
каперсы в соли,100.0,2.36,0.86,4.88,23.00
капуста квашеная,100.0,1.80,0.00,2.20,19.00
корнишоны консервированные,100.0,0.83,0.15,6.02,27.13
кукуруза дробленая,100.0,2.40,0.50,14.60,72.00
кукуруза целыми зернами,100.0,2.20,0.40,11.20,58.00
